datetime,system power,pump flow,lube tank pressure,lube gearbox pressure,lube gearbox temperature
2019-11-01 21:39:18,2.861,9.162,10.42,42.913,69.091
2019-11-01 21:39:48,2.861,9.155,10.255,42.874,69.235
2019-11-01 21:40:18,2.863,9.161,10.321,42.875,69.776
2019-11-01 21:40:48,2.841,9.158,10.292,42.861,70.108
2019-11-01 21:41:18,2.811,9.157,10.234,42.841,70.225
2019-11-01 21:41:48,1.707,6.249,10.229,42.783,70.796
2019-11-01 21:42:18,1.006,4.213,10.179,42.744,71.735
2019-11-01 21:42:48,0.997,4.218,10.166,42.725,72.552
2019-11-01 21:43:18,0.992,4.218,10.237,42.771,72.773
2019-11-01 21:43:48,0.991,4.21,10.229,42.758,72.691
2019-11-01 21:44:18,1.001,4.221,10.239,42.736,72.771
2019-11-01 21:44:48,1.019,4.209,10.236,42.696,73.174
2019-11-01 21:45:18,1.029,4.221,10.235,42.729,73.485
2019-11-01 21:45:48,1.297,5.033,10.268,42.711,73.324
2019-11-01 21:46:18,1.898,6.781,10.262,42.763,73.383
2019-11-01 21:46:48,2.446,8.136,10.244,42.712,73.176
2019-11-01 21:47:18,2.71,8.767,10.223,42.687,73.067
2019-11-01 21:47:48,2.716,8.76,10.259,42.714,73.049
2019-11-01 21:48:18,2.722,8.771,10.34,42.73,73.55
2019-11-01 21:48:48,2.726,8.768,10.331,42.726,73.67
2019-11-01 21:49:18,2.727,8.762,10.28,42.724,73.432
2019-11-01 21:49:48,2.729,8.765,10.245,42.672,73.827
2019-11-01 21:50:18,2.728,8.767,10.262,42.667,73.973
2019-11-01 21:50:48,2.726,8.768,10.271,42.694,74.034
2019-11-01 21:51:18,2.725,8.764,10.278,42.682,73.992
2019-11-01 21:51:48,2.726,8.762,10.22,42.657,74.193
2019-11-01 21:52:18,2.726,8.765,10.241,42.66,74.474
2019-11-01 21:52:48,2.726,8.763,10.247,42.68,74.706
2019-11-01 21:53:18,2.726,8.763,10.278,42.676,74.853
2019-11-01 21:53:48,2.724,8.763,10.312,42.712,74.972
2019-11-01 21:54:18,2.722,8.767,10.321,42.715,75.165
2019-11-01 21:54:48,2.723,8.764,10.304,42.681,75.18
2019-11-01 21:55:18,2.724,8.766,10.334,42.74,75.265
2019-11-01 21:55:48,2.727,8.761,10.329,42.723,75.311
2019-11-01 21:56:18,2.729,8.768,10.301,42.708,75.35
2019-11-01 21:56:48,2.732,8.768,10.27,42.699,75.3
2019-11-01 21:57:18,2.736,8.768,10.233,42.671,75.257
2019-11-01 21:57:48,2.741,8.764,10.258,42.693,75.475
2019-11-01 21:58:18,2.741,8.764,10.289,42.674,75.681
2019-11-01 21:58:48,2.744,8.767,10.273,42.741,75.797
2019-11-01 21:59:18,2.741,8.764,10.235,42.691,75.988
2019-11-01 21:59:48,2.735,8.766,10.258,42.728,76.02
2019-11-01 22:00:18,2.729,8.761,10.273,42.701,76.236
2019-11-01 22:00:48,2.723,8.765,10.299,42.715,76.181
2019-11-01 22:01:18,2.717,8.766,10.25,42.75,76.446
2019-11-01 22:01:48,2.71,8.768,10.189,42.717,76.597
2019-11-01 22:02:18,2.704,8.768,10.231,42.705,76.83
2019-11-01 22:02:48,2.699,8.766,10.255,42.741,77.272
2019-11-01 22:03:18,2.695,8.76,10.181,42.727,77.48
2019-11-01 22:03:48,2.692,8.764,10.204,42.726,77.481
2019-11-01 22:04:18,2.694,8.77,10.235,42.782,77.897
2019-11-01 22:04:48,2.697,8.764,10.191,42.749,78.243
2019-11-01 22:05:18,2.703,8.767,10.171,42.748,78.694
2019-11-01 22:05:48,2.709,8.767,10.218,42.754,78.799
2019-11-01 22:06:18,2.716,8.762,10.296,42.778,78.992
2019-11-01 22:06:48,2.724,8.762,10.257,42.767,79.206
2019-11-01 22:07:18,2.734,8.764,10.215,42.746,79.294
2019-11-01 22:07:48,2.736,8.765,10.22,42.671,79.38
2019-11-01 22:08:18,2.741,8.765,10.195,42.679,79.603
2019-11-01 22:08:48,2.845,9.093,10.265,42.788,79.792
2019-11-01 22:09:18,2.888,9.2,10.307,42.93,80.322
2019-11-01 22:09:48,2.894,9.2,10.276,42.931,80.467
2019-11-01 22:10:18,2.899,9.212,10.195,42.923,80.458
2019-11-01 22:10:48,2.9,9.208,10.177,42.903,80.622
2019-11-01 22:11:18,2.901,9.205,10.224,42.92,80.761
2019-11-01 22:11:48,2.906,9.209,10.204,42.939,80.93
2019-11-01 22:12:18,2.905,9.201,10.13,42.86,81.038
2019-11-01 22:12:48,2.903,9.211,10.095,42.885,81.236
2019-11-01 22:13:18,2.905,9.202,10.167,42.84,81.419
2019-11-01 22:13:48,2.904,9.202,10.123,42.88,81.723
2019-11-01 22:14:18,2.909,9.206,10.093,42.856,81.976
2019-11-01 22:14:48,2.913,9.203,10.056,42.849,82.193
2019-11-01 22:15:18,2.917,9.202,10.074,42.833,82.294
2019-11-01 22:15:48,2.925,9.198,10.045,42.814,82.592
2019-11-01 22:16:18,2.93,9.196,10.046,42.753,82.884
2019-11-01 22:16:48,2.935,9.204,10.106,42.78,83.243
2019-11-01 22:17:18,2.94,9.199,10.113,42.761,83.495
2019-11-01 22:17:48,2.946,9.203,10.252,42.781,83.754
2019-11-01 22:18:18,2.955,9.194,10.258,42.801,83.787
2019-11-01 22:18:48,2.951,9.205,10.294,42.781,83.839
2019-11-01 22:19:18,2.956,9.201,10.289,42.771,83.908
2019-11-01 22:19:48,2.958,9.201,10.267,42.767,84.032
2019-11-01 22:20:18,2.963,9.204,10.225,42.737,84.233
2019-11-01 22:20:48,2.964,9.205,10.193,42.74,84.438
2019-11-01 22:21:18,2.962,9.207,10.166,42.71,84.663
2019-11-01 22:21:48,2.964,9.202,10.203,42.742,84.755
2019-11-01 22:22:18,2.975,9.202,10.203,42.736,84.916
2019-11-01 22:22:48,2.99,9.202,10.204,42.723,85.104
2019-11-01 22:23:18,2.996,9.204,10.189,42.715,85.381
2019-11-01 22:23:48,3.004,9.201,10.179,42.71,85.571
2019-11-01 22:24:18,3.024,9.205,10.215,42.744,85.878
2019-11-01 22:24:48,3.037,9.199,10.162,42.683,85.929
2019-11-01 22:25:18,3.022,9.152,10.184,42.687,86.152
2019-11-01 22:25:48,2.941,8.9,10.244,42.684,86.114
2019-11-01 22:26:18,2.756,8.345,10.156,42.684,86.351
2019-11-01 22:26:48,2.752,8.341,10.199,42.69,86.248
2019-11-01 22:27:18,2.765,8.347,10.167,42.663,86.343
2019-11-01 22:27:48,2.78,8.341,10.202,42.678,86.497
2019-11-01 22:28:18,2.792,8.346,10.129,42.673,86.653
2019-11-01 22:28:48,2.804,8.343,10.076,42.66,87.102
2019-11-01 22:29:18,2.816,8.341,10.108,42.619,87.404
2019-11-01 22:29:48,2.831,8.346,10.081,42.779,86.93
2019-11-01 22:30:18,2.858,8.334,10.055,42.575,87.309
2019-11-01 22:30:48,2.873,8.346,10.081,42.702,87.129
2019-11-01 22:31:18,2.887,8.339,10.084,42.696,87.262
2019-11-01 22:31:48,2.893,8.348,10.03,42.64,87.249
2019-11-01 22:32:18,2.879,8.345,10.156,42.712,87.247
2019-11-01 22:32:48,2.86,8.348,10.201,42.655,87.298
2019-11-01 22:33:18,2.839,8.337,10.073,42.631,87.357
2019-11-01 22:33:48,2.822,8.349,10.118,42.729,87.356
2019-11-01 22:34:18,2.801,8.343,10.184,42.785,87.091
2019-11-01 22:34:48,2.786,8.348,10.153,42.701,87.081
2019-11-01 22:35:18,2.719,8.341,10.126,42.592,87.425
2019-11-01 22:35:48,2.697,8.345,10.051,42.764,87.297
2019-11-01 22:36:18,2.687,8.345,10.131,42.726,87.267
2019-11-01 22:36:48,2.681,8.341,10.116,42.778,87.182
2019-11-01 22:37:18,2.674,8.345,10.138,42.682,87.437
2019-11-01 22:37:48,2.673,8.344,10.244,42.789,87.243
2019-11-01 22:38:18,2.672,8.344,10.222,42.839,86.971
2019-11-01 22:38:48,2.669,8.344,10.186,42.68,87.322
2019-11-01 22:39:18,2.669,8.342,10.195,42.721,87.239
2019-11-01 22:39:48,2.671,8.341,10.157,42.771,87.309
2019-11-01 22:40:18,2.187,7.236,10.17,42.651,87.258
2019-11-01 22:40:48,1.0,4.104,10.201,42.598,87.849
2019-11-01 22:41:18,0.407,1.921,10.229,42.945,86.827
2019-11-01 22:41:48,0.003,0.017,10.167,42.754,86.873
2019-11-01 22:42:18,0.004,0.025,10.077,42.609,86.959
2019-11-01 22:42:48,0.004,0.019,10.05,42.334,86.687
2019-11-01 22:43:18,0.012,0.129,10.121,42.413,86.393
2019-11-01 22:43:48,0.0,0.088,10.232,42.717,86.288
2019-11-01 22:44:18,0.0,,10.196,42.777,86.284
2019-11-01 23:35:48,0.187,1.24,10.114,43.198,78.206
2019-11-01 23:36:48,0.001,,10.066,42.876,77.864
2019-11-01 23:37:18,0.0,,10.048,42.865,77.877
2019-11-01 23:43:48,0.002,0.047,10.108,43.312,77.983
2019-11-01 23:44:18,0.179,1.032,10.086,43.066,78.042
2019-11-01 23:44:48,0.223,1.282,10.083,43.113,77.865
2019-11-01 23:45:18,0.543,2.9,10.099,43.143,77.737
2019-11-01 23:45:48,0.579,2.976,10.063,43.127,77.675
2019-11-01 23:46:18,0.587,2.979,10.063,43.071,77.543
2019-11-01 23:46:48,0.591,2.978,10.025,43.062,77.676
2019-11-01 23:47:18,0.592,2.981,9.944,43.051,77.806
2019-11-01 23:47:48,0.596,2.977,9.979,43.068,77.836
2019-11-01 23:48:18,0.598,2.984,10.008,43.014,77.887
2019-11-01 23:48:48,0.599,2.98,10.02,43.052,77.951
2019-11-01 23:49:18,0.599,2.979,10.013,43.011,78.005
2019-11-01 23:49:48,0.599,2.981,9.937,42.976,78.021
2019-11-01 23:50:18,0.598,2.983,9.976,42.974,78.215
2019-11-01 23:50:48,0.599,2.982,10.072,42.967,78.267
2019-11-01 23:51:18,0.393,1.938,10.077,42.985,78.194
2019-11-01 23:51:48,0.163,0.802,10.043,42.932,78.17
2019-11-01 23:52:18,0.528,2.144,10.057,42.977,78.228
2019-11-01 23:52:48,0.896,3.101,10.08,43.021,78.185
2019-11-01 23:53:18,1.367,4.17,10.041,42.99,78.106
2019-11-01 23:53:48,1.818,4.958,10.009,42.954,78.123
2019-11-01 23:54:18,1.804,4.943,9.998,42.938,78.294
2019-11-01 23:54:48,1.851,5.044,10.005,42.972,78.389
2019-11-01 23:55:18,1.883,5.116,10.029,42.93,78.369
2019-11-01 23:55:48,1.89,5.142,9.962,42.921,78.449
2019-11-01 23:56:18,1.902,5.177,9.898,42.88,78.562
2019-11-01 23:56:48,1.94,5.267,9.963,42.847,78.653
2019-11-01 23:57:18,1.961,5.33,9.918,42.791,78.722
2019-11-01 23:57:48,1.981,5.401,9.919,42.786,78.867
2019-11-01 23:58:18,2.012,5.478,9.948,42.819,78.93
2019-11-01 23:58:48,2.055,5.588,10.006,42.785,79.079
2019-11-01 23:59:18,2.076,5.672,9.953,42.829,79.179
2019-11-01 23:59:48,2.112,5.765,9.975,42.807,79.244
2019-11-02 00:00:18,2.154,5.888,9.998,42.763,79.316
2019-11-02 00:00:48,2.203,6.016,9.933,42.766,79.409
2019-11-02 00:01:18,2.24,6.127,9.975,42.757,79.504
2019-11-02 00:01:48,2.295,6.284,9.968,42.758,79.632
2019-11-02 00:02:18,2.362,6.472,10.056,42.749,79.809
2019-11-02 00:02:48,2.424,6.641,10.033,42.753,79.86
2019-11-02 00:03:18,2.495,6.834,10.071,42.761,79.929
2019-11-02 00:03:48,2.451,6.832,10.091,42.731,80.024
2019-11-02 00:04:18,2.406,6.835,10.092,42.729,80.104
2019-11-02 00:04:48,2.322,6.841,10.034,42.735,80.209
2019-11-02 00:05:18,2.186,6.844,10.031,42.746,80.335
2019-11-02 00:05:48,2.111,6.833,10.04,42.742,80.479
2019-11-02 00:06:18,2.187,7.064,9.97,42.703,80.526
2019-11-02 00:06:48,2.548,7.93,9.977,42.756,80.612
2019-11-02 00:07:18,2.73,8.43,10.016,42.785,80.714
2019-11-02 00:07:48,2.776,8.541,10.002,42.762,80.866
2019-11-02 00:08:18,2.779,8.545,10.04,42.798,81.046
2019-11-02 00:08:48,2.771,8.546,9.963,42.782,81.158
2019-11-02 00:09:18,2.767,8.547,9.996,42.795,81.336
2019-11-02 00:09:48,2.765,8.544,10.071,42.819,81.483
2019-11-02 00:10:18,2.766,8.544,10.074,42.851,81.598
2019-11-02 00:10:48,2.766,8.548,10.068,42.827,81.64
2019-11-02 00:11:18,2.764,8.552,10.074,42.832,81.766
2019-11-02 00:11:48,2.764,8.545,10.101,42.885,81.896
2019-11-02 00:12:18,2.764,8.546,9.996,42.883,81.985
2019-11-02 00:12:48,2.764,8.55,9.94,42.845,82.178
2019-11-02 00:13:18,2.765,8.544,9.942,42.859,82.436
2019-11-02 00:13:48,2.767,8.553,10.016,42.883,82.533
2019-11-02 00:14:18,2.769,8.543,9.959,42.882,82.775
2019-11-02 00:14:48,2.772,8.544,9.936,42.867,82.962
2019-11-02 00:15:18,2.778,8.545,9.973,42.845,83.146
2019-11-02 00:15:48,2.781,8.542,9.909,42.83,83.397
2019-11-02 00:16:18,2.783,8.546,9.871,42.835,83.628
2019-11-02 00:16:48,2.786,8.539,9.942,42.792,83.861
2019-11-02 00:17:18,2.785,8.54,9.923,42.802,84.025
2019-11-02 00:17:48,2.785,8.544,9.88,42.779,84.238
2019-11-02 00:18:18,2.786,8.543,9.849,42.755,84.49
2019-11-02 00:18:48,2.789,8.539,9.872,42.763,84.743
2019-11-02 00:19:18,2.79,8.54,9.889,42.738,84.931
2019-11-02 00:19:48,2.79,8.551,9.884,42.71,85.119
2019-11-02 00:20:18,2.789,8.545,9.872,42.714,85.293
2019-11-02 00:20:48,2.788,8.545,9.929,42.704,85.49
2019-11-02 00:21:18,2.787,8.546,10.012,42.71,85.607
2019-11-02 00:21:48,2.786,8.546,9.915,42.694,85.753
2019-11-02 00:22:18,2.786,8.551,9.926,42.718,85.907
2019-11-02 00:22:48,2.786,8.54,9.891,42.685,86.089
2019-11-02 00:23:18,2.784,8.55,9.899,42.701,86.233
2019-11-02 00:23:48,2.783,8.551,9.802,42.659,86.394
2019-11-02 00:24:18,2.8,8.602,9.76,42.609,86.713
2019-11-02 00:24:48,2.815,8.653,9.769,42.606,87.116
2019-11-02 00:25:18,2.815,8.64,9.836,42.596,87.302
2019-11-02 00:25:48,2.825,8.64,9.829,42.719,87.268
2019-11-02 00:26:18,2.832,8.649,9.854,42.556,87.425
2019-11-02 00:26:48,2.832,8.632,9.892,42.751,87.234
2019-11-02 00:27:18,2.836,8.648,9.92,42.745,86.662
2019-11-02 00:27:48,2.838,8.642,9.975,42.664,87.145
2019-11-02 00:28:18,2.837,8.641,9.957,42.712,87.248
2019-11-02 00:28:48,2.835,8.656,9.875,42.645,87.406
2019-11-02 00:29:18,2.836,8.656,9.864,42.777,87.349
2019-11-02 00:29:48,2.834,8.649,9.862,42.753,87.217
2019-11-02 00:30:18,2.835,8.64,9.848,42.701,87.696
2019-11-02 00:30:48,2.835,8.64,9.857,42.932,87.017
2019-11-02 00:31:18,2.833,8.634,9.828,42.688,87.288
2019-11-02 00:31:48,2.83,8.644,9.889,42.624,87.605
2019-11-02 00:32:18,2.83,8.644,9.92,42.956,87.182
2019-11-02 00:32:48,2.827,8.644,9.909,42.745,87.4
2019-11-02 00:33:18,2.827,8.648,9.913,42.871,87.344
2019-11-02 00:33:48,2.825,8.629,9.901,42.765,87.258
2019-11-02 00:34:18,2.823,8.65,9.929,42.738,87.358
2019-11-02 00:34:48,2.822,8.626,9.965,42.826,87.32
2019-11-02 00:35:18,2.819,8.645,10.018,42.815,87.159
2019-11-02 00:35:48,2.819,8.639,9.954,42.763,87.284
2019-11-02 00:36:18,2.817,8.644,9.899,42.639,87.327
2019-11-02 00:36:48,2.819,8.642,9.939,42.759,87.458
2019-11-02 00:37:18,2.815,8.643,9.91,42.789,87.427
2019-11-02 00:37:48,2.816,8.639,9.951,42.819,87.246
2019-11-02 00:38:18,2.816,8.643,9.98,42.789,87.33
2019-11-02 00:38:48,2.817,8.627,9.942,42.741,87.58
2019-11-02 00:39:18,2.816,8.652,10.01,42.8,87.26
2019-11-02 00:39:48,2.815,8.634,9.957,42.796,87.29
2019-11-02 00:40:18,2.812,8.651,9.95,42.681,87.585
2019-11-02 00:40:48,2.812,8.635,9.935,42.791,87.321
2019-11-02 00:41:18,2.81,8.646,10.011,42.672,87.544
2019-11-02 00:41:48,2.811,8.634,10.043,42.885,87.114
2019-11-02 00:42:18,2.81,8.648,9.983,42.637,87.433
2019-11-02 00:42:48,2.811,8.638,10.041,42.747,87.868
2019-11-02 00:43:18,2.808,8.652,10.069,42.746,87.599
2019-11-02 00:43:48,2.808,8.633,10.006,42.904,87.492
2019-11-02 00:44:18,2.805,8.645,10.052,42.855,87.122
2019-11-02 00:44:48,2.802,8.649,9.972,42.695,87.217
2019-11-02 00:45:18,2.801,8.635,9.964,42.764,87.507
2019-11-02 00:45:48,2.796,8.649,9.957,42.734,87.716
2019-11-02 00:46:18,2.796,8.635,9.973,42.874,87.371
2019-11-02 00:46:48,2.794,8.64,10.059,42.804,87.339
2019-11-02 00:47:18,2.791,8.647,10.023,42.763,87.493
2019-11-02 00:47:48,2.79,8.649,9.958,42.716,87.318
2019-11-02 00:48:18,2.791,8.633,9.952,42.669,87.977
2019-11-02 00:48:48,2.791,8.651,9.921,42.804,87.313
2019-11-02 00:49:18,2.793,8.641,9.979,42.737,87.803
2019-11-02 00:49:48,2.792,8.647,9.957,42.883,87.245
2019-11-02 00:50:18,2.793,8.642,9.931,42.732,87.404
2019-11-02 00:50:48,2.794,8.634,9.986,42.795,87.346
2019-11-02 00:51:18,2.796,8.645,9.928,42.74,87.609
2019-11-02 00:51:48,2.8,8.636,9.973,42.921,87.309
2019-11-02 00:52:18,2.8,8.634,9.965,42.74,87.345
2019-11-02 00:52:48,2.8,8.652,9.882,42.753,87.677
2019-11-02 00:53:18,2.802,8.642,9.875,42.855,87.191
2019-11-02 00:53:48,2.802,8.647,9.926,42.837,87.331
2019-11-02 00:54:18,2.802,8.63,9.918,42.621,87.648
2019-11-02 00:54:48,2.801,8.645,9.966,42.798,87.399
2019-11-02 00:55:18,2.802,8.634,9.864,42.875,87.321
2019-11-02 00:55:48,2.8,8.65,9.817,42.648,88.039
2019-11-02 00:56:18,2.801,8.634,9.908,42.893,87.388
2019-11-02 00:56:48,2.799,8.639,9.968,42.974,86.988
2019-11-02 00:57:18,2.794,8.646,9.883,42.656,87.599
2019-11-02 00:57:48,2.794,8.642,9.982,42.843,87.19
2019-11-02 00:58:18,2.795,8.642,9.895,42.758,87.612
2019-11-02 00:58:48,2.795,8.63,9.824,42.773,87.585
2019-11-02 00:59:18,2.793,8.644,9.796,42.903,87.36
2019-11-02 00:59:48,2.79,8.645,9.852,42.832,87.29
2019-11-02 01:00:18,2.79,8.641,9.777,42.712,87.517
2019-11-02 01:00:48,2.787,8.642,9.703,42.838,87.55
2019-11-02 01:01:18,2.785,8.653,9.801,42.839,87.448
2019-11-02 01:01:48,2.786,8.64,9.824,42.884,87.482
2019-11-02 01:02:18,2.786,8.637,9.799,42.845,87.773
2019-11-02 01:02:48,2.784,8.64,9.827,42.886,87.612
2019-11-02 01:03:18,2.786,8.641,9.781,42.908,87.468
2019-11-02 01:03:48,2.786,8.643,9.798,42.786,87.554
2019-11-02 01:04:18,2.788,8.64,9.777,42.822,87.887
2019-11-02 01:04:48,2.79,8.643,9.826,42.937,87.254
2019-11-02 01:05:18,2.791,8.633,9.883,42.817,87.159
2019-11-02 01:05:48,2.79,8.644,9.918,42.673,87.706
2019-11-02 01:06:18,2.788,8.634,9.963,42.912,87.281
2019-11-02 01:06:48,2.786,8.64,9.948,42.879,87.413
2019-11-02 01:07:18,2.786,8.636,9.899,42.801,87.343
2019-11-02 01:07:48,2.787,8.64,9.895,42.73,87.952
2019-11-02 01:08:18,2.787,8.632,9.868,42.898,87.437
2019-11-02 01:08:48,2.787,8.643,9.86,42.726,87.766
2019-11-02 01:09:18,2.787,8.651,9.878,42.843,87.982
2019-11-02 01:09:48,2.786,8.637,10.003,42.986,87.19
2019-11-02 01:10:18,2.786,8.641,9.986,42.817,87.32
2019-11-02 01:10:48,2.784,8.641,9.963,42.83,87.345
2019-11-02 01:11:18,2.782,8.639,9.891,42.797,87.4
2019-11-02 01:11:48,2.782,8.642,9.894,42.806,87.531
2019-11-02 01:12:18,2.782,8.64,9.891,42.827,87.461
2019-11-02 01:12:48,2.781,8.647,9.91,42.758,87.462
2019-11-02 01:13:18,2.781,8.639,9.964,42.816,87.771
2019-11-02 01:13:48,2.778,8.639,10.057,42.892,87.17
2019-11-02 01:14:18,2.775,8.637,10.13,42.78,87.2
2019-11-02 01:14:48,2.775,8.633,10.094,42.796,87.842
2019-11-02 01:15:18,2.774,8.642,10.056,42.883,87.272
2019-11-02 01:15:48,2.777,8.63,10.122,42.86,87.184
2019-11-02 01:16:18,2.778,8.641,10.15,42.704,87.422
2019-11-02 01:16:48,2.78,8.641,10.163,42.74,87.438
2019-11-02 01:17:18,2.751,8.647,10.164,42.811,86.873
2019-11-02 01:17:48,2.731,8.641,10.148,42.754,87.314
2019-11-02 01:18:18,2.78,8.638,10.178,42.777,87.131
2019-11-02 01:18:48,2.792,8.634,10.137,42.714,87.9
2019-11-02 01:19:18,2.793,8.656,10.048,42.813,87.335
2019-11-02 01:19:48,2.792,8.654,9.99,42.79,87.349
2019-11-02 01:20:18,2.795,8.638,10.037,42.736,87.672
2019-11-02 01:20:48,2.793,8.644,10.01,42.795,87.51
2019-11-02 01:21:18,2.793,8.653,10.028,42.889,87.392
2019-11-02 01:21:48,2.793,8.639,10.061,42.76,87.55
2019-11-02 01:22:18,2.793,8.652,10.035,42.81,87.209
2019-11-02 01:22:48,2.793,8.638,10.025,42.739,87.29
2019-11-02 01:23:18,2.796,8.646,10.147,42.807,87.069
2019-11-02 01:23:48,2.792,8.65,10.039,42.682,87.426
2019-11-02 01:24:18,2.79,8.636,10.039,42.819,87.292
2019-11-02 01:24:48,2.797,8.645,10.099,42.832,87.207
2019-11-02 01:25:18,2.8,8.643,10.075,42.727,87.52
2019-11-02 01:25:48,2.803,8.636,10.018,42.798,87.899
2019-11-02 01:26:18,2.813,8.645,10.055,42.883,87.538
2019-11-02 01:26:48,2.826,8.629,10.084,42.975,87.211
2019-11-02 01:27:18,2.833,8.63,9.981,42.706,87.693
2019-11-02 01:27:48,2.842,8.65,9.962,42.776,87.55
